name,slug,denominations,denomination_type,rate
Nida Al Harb 3,nida-al-harb-3,"[10,20,50,100,250,500,1000]",FIXED,5.5
Babylist,babylist,"[25,500]",VARIABLE,6.5
XBOX Game Pass Core,xbox-game-pass-core,"[9.99,24.99,39.99,79.99]",FIXED,12
Goodcents,goodcents,"[10,500]",VARIABLE,10.5
Go Play Golf,go-play-golf,"[25,500]",VARIABLE,11
Regal Cinemas,regal-cinemas,"[10,200]",VARIABLE,6.5
Happy Card/One4all Favorites - HOME SWEET HOME,happy-card-one4all-favorites-home-sweet-home,"[50,100]",FIXED,6
Happy Card/One4all Favorites - HOME SWEET HOME,happy-card-one4all-favorites-home-sweet-home,"[25,500]",VARIABLE,3.5
For the love of Movies,for-the-love-of-movies,"[20,1900]",VARIABLE,7
Outdoorsy,Outdoorsy,"[10,1000]",VARIABLE,10
Disneyland Resort,disneyland-resort,"[50,100]",FIXED,5
Disneyland Resort,disneyland-resort,"[15,500]",VARIABLE,4
Elements Massage,elements-massage,"[25,500]",VARIABLE,10.5
Primark,primark,[65],FIXED,10
Primark,primark,"[10,300]",VARIABLE,4.5
Happy Card/One4all Favorites - Cheers to You,happy-card-one4all-favorites-cheers-to-you,"[25,500]",VARIABLE,3
Hilton Galveston Island,hilton-galveston-island,"[25,500]",VARIABLE,10.5
KingSize,kingsize,"[20,250]",VARIABLE,10.5
BucketlistGift,bucketlistgift,"[50,2000]",VARIABLE,5.5
Maggiano's Little Italy,maggianos-little-italy,"[10,100]",VARIABLE,7.5
Eddie V's,eddie-vs,"[10,250]",VARIABLE,6
AT&T Prepaid,at&t prepaid,[25],FIXED,6
Uber Eats,uber-eats,[50],FIXED,8
Uber Eats,uber-eats,"[15,150]",VARIABLE,3.5
Seamless,seamless,"[10,500]",VARIABLE,5
Athleta,athleta,"[50,100]",FIXED,15.5
Athleta,athleta,"[10,500]",VARIABLE,7.5
Jiffy Lube,jiffy-lube,"[15,500]",VARIABLE,10.5
Southwest Airlines,southwest-airlines,[150],FIXED,8
Southwest Airlines,southwest-airlines,[1000],FIXED,6
Southwest Airlines,southwest-airlines,"[15,500]",VARIABLE,5
One4all Ultimate - One4all,one4all-ultimate-one4all,"[25,500]",VARIABLE,4
Dos Caminos,dos-caminos,"[25,500]",VARIABLE,10.5
Total Wine & More,total-wine,"[25,500]",VARIABLE,6.5
Craft F&B,craft-fb,"[25,500]",VARIABLE,10.5
Famous Dave,famous-dave,"[25,250]",VARIABLE,6
L.L. Bean,ll-bean,[50],FIXED,15
L.L. Bean,ll-bean,"[10,500]",VARIABLE,11.5
Kincaid's Fish Chop & Steakhouse,kincaids-fish-chop-steakhouse,"[25,500]",VARIABLE,10.5
PacSun,pacsun,"[10,200]",VARIABLE,10.5
Disney+,disney-plus,"[50,100]",FIXED,5
Disney+,disney-plus,"[25,500]",VARIABLE,4
Sur La Table,sur-la-table,"[15,500]",VARIABLE,10.5
Netflix,netflix,"[25,50]",FIXED,4
CVS B2B,cvs-b2b,"[10,500]",VARIABLE,5
Baker's,bakers,"[10,500]",VARIABLE,2.75
Microsoft Office 365 Personal 1 yr,microsoft-office-365-personal-1-yr,[99.99],FIXED,10
Alo Moves,alo-moves,"[10.39,30.99,61.99,103.99]",FIXED,12.5
Albertsons,albertsons,"[10,250]",VARIABLE,3
Tommy John,Tommy-John,"[25,500]",VARIABLE,11
