name,slug,denominations,denomination_type,rate
OneStopPlus,onestopplus,"[20,250]",VARIABLE,10.5
PlayStation Store,playstation-store,"[10,25,50,75,100,150,200,250]",FIXED,5
Lyft,lyft,"[25,200]",VARIABLE,3.5
Tower of the Americas,tower-of-the-americas,"[25,500]",VARIABLE,10.5
H&M,hm,"[10,300]",VARIABLE,8.5
Lulus,lulus,"[15,200]",VARIABLE,6.5
Charity on Top,charity-on-top,"[10,500]",VARIABLE,7.5
Michael's,michaels,"[10,500]",VARIABLE,9.5
Westin,westin,"[100,250,350,500,850]",FIXED,9
Westin,westin,"[25,2000]",VARIABLE,4.5
Kroger,kroger,"[10,500]",VARIABLE,2.75
BitJem,bitjem,"[5,2000]",VARIABLE,4
Auntie Anne's,auntie-annes,"[10,200]",VARIABLE,8.5
Pay It Down Credit Bill,pay-it-down-credit-bill,"[20,1900]",VARIABLE,7
Galveston Holiday Inn,galveston-holiday-inn,"[25,500]",VARIABLE,10.5
Happy Card/One4all Favorites - Happy Birthday,happy-card-one4all-favorites-happy-birthday,"[25,500]",VARIABLE,4
Final Fantasy XIV - 60 Days,final-fantasy-xiv-60-days,[29.99],FIXED,8
Global Experiences Card,global-experiences-card,"[25,500]",VARIABLE,7.5
Yard House,yard-house,"[10,250]",VARIABLE,6
Xbox,xbox,[100],FIXED,13
Xbox,xbox,"[15,25,50]",FIXED,6.5
FAENA,faena,"[25,50,100]",FIXED,4.5
TopResume,topresume,"[10,1000]",VARIABLE,8
Speedway,speedway,"[20,200]",VARIABLE,2.5
Sam's Club,sams-club,"[10,500]",VARIABLE,2.5
Copps,copps,"[10,500]",VARIABLE,2.75
Kohl's,kohls,[50],FIXED,8
Kohl's,kohls,"[10,500]",VARIABLE,5.5
Mortal Kombat 11,mortal-kombat-11,[59.99],FIXED,17.5
Foods Co.,foods-co,"[10,500]",VARIABLE,2.75
Banya Tree,banya-tree,"[25,50,100]",FIXED,4.5
AnyCard Thank You,anycard-thank-you,"[10,500]",VARIABLE,4.5
Happy Card/One4all Favorites - Game & Grub,happy-card-one4all-favorites-game-grub,"[25,500]",VARIABLE,4.5
SureStay Signature Collection,surestay-signature-collection,"[25,1000]",VARIABLE,7.5
The Cheesecake Factory,the-cheesecake-factory,[60],FIXED,11.5
The Cheesecake Factory,the-cheesecake-factory,"[10,200]",VARIABLE,5.5
NASCAR,nascar,"[10,500]",VARIABLE,8.5
Boohoo Man,boohoo-man,"[10,500]",VARIABLE,7.5
Food 4 Less,food-4-less,"[10,500]",VARIABLE,2.75
MOLEK-SYNTEZ,molek-syntez,[9.99],FIXED,17.5
Grubhub+,grubhub-plus,[119.88],FIXED,3
Columbia,columbia,"[10,250]",VARIABLE,9
AnyCard Shop,anycard-shop,"[10,500]",VARIABLE,4.5
Bubba Gump Shrimp Co,bubba-gump-shrimp-co,"[25,500]",VARIABLE,10.5
Henry's Tavern,henrys-tavern,"[25,500]",VARIABLE,10.5
AirlineGift,airlinegift,"[50,2000]",VARIABLE,5.5
Jay C,jay-c,"[10,500]",VARIABLE,2.75
True Classic,true-classic,"[25,500]",VARIABLE,9
Scheels,scheels,"[10,25,50,100]",FIXED,3
WetGo Car Wash,wetgo-car-wash,"[25,100]",VARIABLE,1.5
Carnival Cruises,carnival-cruises,"[100,1000]",VARIABLE,8.5
Willie G's Seafood,willie-gs-seafood,"[25,500]",VARIABLE,10.5
Belk,belk,"[15,500]",VARIABLE,10
Pay Less Supermarkets,pay-less-supermarkets,"[10,500]",VARIABLE,2.75
76 Gas Station,76-Gas-Station,"[10,500]",VARIABLENOCENTS,1.5
Baja Fresh,baja-fresh,"[10,200]",VARIABLE,10
Simon & Seafort's Saloon & Grill,simon-seaforts-saloon-grill,"[25,500]",VARIABLE,10.5
For the love of Hotels,for-the-love-of-hotels,"[20,1900]",VARIABLE,7
Baby Depot at Burlington,baby-depot-at-burlington,"[10,250]",VARIABLE,5
UNDAWN,undawn,"[20,30,45,100]",FIXED,3.5
King Soopers,king-soopers,"[10,500]",VARIABLE,2.75
Britbox,britbox,"[25,250]",VARIABLE,8.5
Stitch Fix,stitch-fix,"[10,500]",VARIABLE,8.5
TIDAL,tidal,[20],FIXED,4
Mugsy Jeans,mugsy-jeans,"[50,500]",VARIABLE,14
Old Chicago Pizza,old-chicago-pizza,"[10,500]",VARIABLE,10
Pastini Pastaria,pastini-pastaria,"[10,250]",VARIABLE,10.5
World Wildlife Fund,World-Wildlife-Fund,"[10,250]",VARIABLE,7
Ace Hardware,ace-hardware,"[100,250]",FIXED,9
Ace Hardware,ace-hardware,"[10,250]",VARIABLE,4
Sadie Best Western,sadie-best-western,"[25,1000]",VARIABLE,7.5
Burger King,burger-king,"[10,1000]",VARIABLE,9.5
GCodes Global,gcodes-global,"[10,25,50]",FIXED,3.5
Frickers,frickers,"[10,250]",VARIABLE,10.5
Harris Teeter,Harris-Teeter,"[10,500]",VARIABLE,3
Under Armour,under-armour,[19],FIXED,20
Under Armour,under-armour,"[15,500]",VARIABLE,10
Hello Alvin,hello-alvin,[100],FIXED,7
Owen's,owens,"[10,500]",VARIABLE,2.75
Swissôtel Hotels & Resorts,swissôtel-hotels-resorts,"[25,50,100]",FIXED,4.5
Sheetz,sheetz,"[10,500]",VARIABLE,2
Shoney's,shoneys,"[20,200]",VARIABLE,6.5
IHOP,ihop,"[10,200]",VARIABLE,6.5
Habitat For Humanity,habitat-for-humanity,"[10,1000]",VARIABLE,4.5
Hard Rock Cafe,hard-rock-cafe,"[10,500]",VARIABLE,5
Chewy,chewy,"[20,500]",VARIABLE,4
Google Play Store,google play store,"[10,500]",VARIABLE,3
Happy Card/One4all Holiday - Happy Holidays,happy-card-one4all-holiday-happy-holidays,"[25,500]",VARIABLE,3.5
Summer Search,summer-search,"[10,1000]",VARIABLE,4.5
Domino's,dominos,[25],FIXED,24.5
Domino's,dominos,"[10,100]",VARIABLE,5.5
Nintendo eShop,nintendo-eshop,"[10,20,35,50]",FIXED,10
Fish tales,fish-tales,"[25,500]",VARIABLE,10.5
QuickGifts Card Mall dibbs,quickgifts-card-mall-dibbs,"[10,500]",VARIABLE,4
Smoothie King,smoothie-king,"[10,100]",VARIABLE,9.5
Carrs,carrs,"[10,250]",VARIABLE,3
Lands' End,lands-end,"[15,500]",VARIABLE,12
Magazine Reward,magazine-reward,[10],FIXED,50
River Crab Blue Water Inn,river-crab-blue-water-inn,"[25,500]",VARIABLE,10.5
Microsoft Office 365 Family 1 yr,microsoft-office-365-family-1-yr,"[99.99,129.99]",FIXED,10
Happy Card/One4all Favorites - On The Run,happy-card-one4all-favorites-on-the-run,"[25,500]",VARIABLE,4.5
Trevi Italian Restaurant,trevi-italian-restaurant,"[25,500]",VARIABLE,10.5
Yalla Ludo Gold,yalla-ludo-gold,"[10,25,50,100,300,500]",FIXED,5.5
Fogo de Chao Brazilian Steakhouse,fogo-de-chao-brazilian-steakhouse,"[25,500]",VARIABLE,7.5
McCormick & Schmick's Seafood & Steaks,mccormick-schmicks-seafood-steaks,"[25,500]",VARIABLE,10.5
Cheryl's,cheryls,"[15,500]",VARIABLE,10.5
Petsmart,petsmart,"[10,500]",VARIABLE,5
99 Restaurant & Pubs,99-restaurant-pubs,"[10,500]",VARIABLE,9.5
Best Western Premier,best-western-premier,"[25,1000]",VARIABLE,7.5
BJ's Restaurants,bjs-restaurants,"[15,200]",VARIABLE,10
Walgreens,walgreens,"[10,500]",VARIABLE,5
Bakers Square,bakers-square,"[10,500]",VARIABLE,9.5
Marshalls,marshalls,"[10,500]",VARIABLE,5.5
Mandarin Oriental Hotel Group,mandarin-oriental-hotel-group,"[10,2000]",VARIABLE,4
Merridee's Breadbasket,merridees-breadbasket,"[10,250]",VARIABLE,10.5
Hardee's,hardees,"[10,250]",VARIABLE,5
Marciano,marciano,"[15,500]",VARIABLE,9
Clinkerdagger,clinkerdagger,"[25,500]",VARIABLE,10.5
Yankee Candle,yankee-candle,"[10,250]",VARIABLE,7
Stock Yards,stock-yards,"[15,500]",VARIABLE,10.5
Shari's Berries,sharis-berries,"[15,500]",VARIABLE,10.5
Magazine Gold,magazine-gold,"[10,15]",FIXED,20
City Year,city-year,"[10,1000]",VARIABLE,4.5
Barclay Jewelers,barclay-jewelers,"[10,500]",VARIABLE,2.75
The Palm,the-palm,"[25,500]",VARIABLE,10.5
CharityChoice,charitychoice,[5],FIXED,10
CharityChoice,charitychoice,"[10,500]",VARIABLE,9.5
Factor 75,factor-75,"[95,115,140,155]",FIXED,5
Skip Hop,skip-hop,[238],FIXED,15
Skip Hop,skip-hop,"[10,500]",VARIABLE,7.5
Twitch,twitch,"[15,200]",VARIABLE,4.5
Radiant Waxin,radiant-waxin,"[25,500]",VARIABLE,10.5
Fry's Food and Drug Store,frys-food-and-drug,"[10,500]",VARIABLE,2.75
Nationwidetickets,nationwidetickets,"[25,50,100,150]",FIXED,4
Allbirds,allbirds,[20],FIXED,6.5
Allbirds,allbirds,"[25,250]",VARIABLE,5.5
Le Meridien,le-meridien,"[100,250,350,500,850]",FIXED,9
Le Meridien,le-meridien,"[25,2000]",VARIABLE,4.5
Kendra Scott,kendra-scott,"[10,500]",VARIABLE,6.5
Randalls,randalls,"[10,250]",VARIABLE,3
ToursGift,toursgift,"[50,2000]",VARIABLE,5.5
Galveston Island Historic Pleasure Pier,galveston-island-historic-pleasure-pier,"[25,500]",VARIABLE,10.5
Amazing Lash Studio,amazing-lash-studio,"[25,500]",VARIABLE,10.5
The Grill,the-grill,"[10,250]",VARIABLE,10.5
Lucky Brand,lucky-brand,"[25,500]",VARIABLE,8
Turo,turo,"[15,500]",VARIABLE,5
Ray-Ban,ray-ban,[220],FIXED,9
Ray-Ban,ray-ban,"[25,500]",VARIABLE,7
Fisherman's Wharf,fishermans-wharf,"[25,500]",VARIABLE,10.5
Steak 'n Shake,steak-n-shake,"[10,500]",VARIABLE,12.5
Cinnabon,cinnabon,"[10,200]",VARIABLE,8.5
Gandy Dancer,gandy-dancer,"[25,500]",VARIABLE,10.5
Amazon,amazon,"[25,50,100,250,499.99,500]",FIXED,3
Amazon,amazon,[20],FIXED,2.5
Amazon,amazon,"[10,2000]",VARIABLE,1.75
On The Border Mexican Grill & Cantina,on-the-border-mexican-grill-cantina,"[10,100]",VARIABLE,7.5
Saltgrass Steak House,saltgrass-steak-house,"[25,500]",VARIABLE,10.5
Unleashed by Petco,unleashed-by-petco,"[10,200]",VARIABLE,8.5
Claim Jumper,claim-jumper,"[25,500]",VARIABLE,10.5
Code.Org,codeorg,"[10,1000]",VARIABLE,4.5
Stanley & Seafort's,stanley-seaforts,"[25,500]",VARIABLE,10.5
Devon Seafood Grill,devon-seafood-grill,"[25,500]",VARIABLE,10.5
TGI Fridays,tgi-fridays,"[10,500]",VARIABLE,7.5
Gatorade,gatorade,"[25,250]",VARIABLE,9
Burlington,burlington,"[10,250]",VARIABLE,5
Kroger Boost Membership,kroger-boost-membership,"[59,99]",FIXED,2.5
Swarovski,swarovski,"[25,1000]",VARIABLE,14
Uber,uber,[50],FIXED,8
Uber,uber,"[15,150]",VARIABLE,3.5
Morton's The Steakhouse,mortons-the-steakhouse,"[25,500]",VARIABLE,10.5
AutoZone,autozone,"[10,500]",VARIABLE,5.5
Moe's Southwest Grill,moes-southwest-grill,"[10,200]",VARIABLE,8.5
RentacarGift,rentacargift,"[50,2000]",VARIABLE,5.5
Deezer,deezer,"[18,36,72]",FIXED,6
Odyssey,odyssey,"[25,50,100,250]",FIXED,20
Skechers,skechers,"[15,500]",VARIABLE,6.5
Marianos,marianos,"[10,500]",VARIABLE,2.75
adidas,adidas,"[50,60,100,105]",FIXED,10.5
adidas,adidas,"[10,500]",VARIABLENOCENTS,8
Perigold,perigold,[100],FIXED,8
Perigold,perigold,"[10,500]",VARIABLE,6
Element,element,"[100,250,350,500,850]",FIXED,9
Element,element,"[25,2000]",VARIABLE,4.5
Taco Bell,taco-bell,"[10,500]",VARIABLE,4
Uno Pizzeria & Grill,uno-pizzeria-grill,"[10,200]",VARIABLE,13
Bravo Brio Restaurants,brio-bravo-restaurants,"[15,500]",VARIABLE,12.5
Project Hero,project-hero,"[10,1000]",VARIABLE,4.5
Disney's Typhoon Lagoon,disney-typhoon-lagoon,"[50,100]",FIXED,5
Disney's Typhoon Lagoon,disney-typhoon-lagoon,"[15,500]",VARIABLE,4
Fred Meyer Jewelers,fred-meyer-jewelers,"[10,500]",VARIABLE,2.75
Disney's Blizzard Beach,disneys-blizzard-beach,"[50,100]",FIXED,5
Disney's Blizzard Beach,disneys-blizzard-beach,"[15,500]",VARIABLE,4
DoorDash,doordash,"[50,100,200]",FIXED,5
DoorDash,doordash,"[15,500]",VARIABLE,4
Overwatch 2,overwatch-2,"[19,50]",FIXED,1.5
Happy Card/One4all Giving Good - Feeding American,happy-card-one4all-giving-good-feeding-american,"[25,500]",VARIABLE,4.5
Tot Squad,tot-squad,"[50,500]",VARIABLE,5
Pottery Barn,pottery-barn,"[25,1000]",VARIABLE,5
Five Guys,five-guys,"[15,200]",VARIABLE,7.5
P.F. Chang's,pf-changs,"[10,500]",VARIABLE,4.5
Walt Disney World Resort,walt-disney-world-resort,"[50,100]",FIXED,5
Walt Disney World Resort,walt-disney-world-resort,"[15,500]",VARIABLE,4
Amtrak,amtrak,"[25,500]",VARIABLE,4
Outback Steakhouse,outback-steakhouse,"[20,200]",VARIABLE,9.5
Texaco,texaco,[15],FIXED,5
Texaco,texaco,"[10,500]",VARIABLE,2.5
Piccadilly,piccadilly,"[10,500]",VARIABLE,13.5
Joss & Main,joss-main,[100],FIXED,8
Joss & Main,joss-main,"[10,500]",VARIABLE,6
Johns Hopkins Bloomberg School Of Public Health,johns-hopkins-bloomberg-school-of-public-health,"[10,1000]",VARIABLE,4.5
Best Western,best-western,"[25,1000]",VARIABLE,7.5
Riot Games,riot-games,"[15,80]",FIXED,5
Benihana,benihana,"[25,500]",VARIABLE,6.5
Apple,apple,"[10,15,50,100]",FIXED,4
Apple,apple,"[30,500]",VARIABLE,3
Walmart,walmart,"[10,500]",VARIABLE,2.5
REI,rei,"[105,252.5,300,960,1000]",FIXED,13
REI,rei,"[25,1000]",VARIABLE,10
Mastro's,mastros,"[25,500]",VARIABLE,10.5
American Eagle Outfitters,american-eagle-outfitters,"[25,50,105,250]",FIXED,11
American Eagle Outfitters,american-eagle-outfitters,"[15,200]",VARIABLE,7
Kemah Boardwalk Inn,kemah-boardwalk-inn,"[25,500]",VARIABLE,10.5
AMC Theatres,amc-theatres,[50],FIXED,11
AMC Theatres,amc-theatres,"[10,100]",VARIABLE,6.5
Urban Air Adventure Park,urban-air-adventure-park,"[25,500]",VARIABLE,10
Carter's,carters,[238],FIXED,15
Carter's,carters,"[10,500]",VARIABLE,7.5
Maurices,maurices,"[10,500]",VARIABLE,7
Barnes & Noble,barnes-noble,"[50,125]",FIXED,11
Barnes & Noble,barnes-noble,"[10,500]",VARIABLE,5.5
Finish Line,finish-line,[100],FIXED,8.5
Finish Line,finish-line,"[10,250]",VARIABLE,6
Foot Locker,foot-locker,"[10,250]",VARIABLE,5.5
Holland America Line,holland-america-line,"[50,500]",VARIABLE,5.5
Sanctifly,sanctifly,"[48,82,110]",FIXED,15
Staples,staples,[50],FIXED,7
Staples,staples,"[10,500]",VARIABLENOCENTS,6
Showcase Cinemas,showcase-cinemas,"[10,200]",VARIABLENOCENTS,8
Cutters Crabhouse,cutters-crabhouse,"[25,500]",VARIABLE,10.5
Bahama Breeze,bahama-breeze,"[10,250]",VARIABLE,6
DICK'S Sporting Goods,dicks-sporting-goods,[100],FIXED,4
DICK'S Sporting Goods,dicks-sporting-goods,"[10,500]",VARIABLE,3
Airbnb,airbnb,"[50,150]",FIXED,6
Airbnb,airbnb,"[25,500]",VARIABLE,4
Red Robin,red-robin,"[10,250]",VARIABLE,10
Phantom Gourmet,phantom-gourmet,"[10,500]",VARIABLE,6
Dutch Bros Coffee,dutch-bros-coffee,[10],FIXED,10
Dutch Bros Coffee,dutch-bros-coffee,"[10,500]",VARIABLE,3.5
Roblox,roblox,"[10,500]",VARIABLE,7
Xbox Starfield,xbox-starfield,"[69.99,99.99]",FIXED,6.5
Sorel,sorel,"[10,250]",VARIABLE,9
Vons,vons,"[10,250]",VARIABLE,3
Candy Crush,candy-crush,"[15,250]",VARIABLE,5.5
OwnersBox,ownersbox,"[50,100,500]",FIXED,13
OwnersBox,ownersbox,"[10,500]",VARIABLE,10.5
Chuck E. Cheese's,chuck-e-cheeses,[25],FIXED,27
Chuck E. Cheese's,chuck-e-cheeses,"[25,250]",VARIABLE,7
Virgin Experience,virgin-experience,"[10,500]",VARIABLE,12.5
Crumbl Cookies,crumbl-cookies,"[10,500]",VARIABLE,8.5
Ann Taylor,ann-taylor,"[10,500]",VARIABLE,6.5
Grown Brilliance,grown-brilliance,"[25,2000]",VARIABLE,9
Designer Shoe Warehouse,designer-shoe-warehouse,"[10,100]",VARIABLE,7.5
Groupon,groupon,"[10,200]",VARIABLE,6
Simms Steakhouse,simms-steakhouse,"[25,500]",VARIABLE,10.5
CanvasPop,canvaspop,[50],FIXED,15
Olive Garden,olive-garden,"[10,250]",VARIABLE,6
J Gilberts,j-gilberts,"[25,500]",VARIABLE,10.5
Levy Restaurants,Levy-Restaurants,"[25,250]",VARIABLE,4
Pavilions,pavilions,"[10,250]",VARIABLE,3
JCPenney,jcpenney,[50],FIXED,11
JCPenney,jcpenney,"[10,25,100]",FIXED,9.5
JCPenney,jcpenney,"[10,500]",VARIABLE,7
Lazy Dog Restaurant,lazy-dog-restaurant,"[15,200]",VARIABLE,10
Jagex RuneScape,jagex-runescape,"[10,25]",FIXED,10
Happy Card/One4all - Giving Good Gratitude,Happy-Card-One4all-Giving-Good-Gratitude,"[25,500]",VARIABLE,4
Oura Ring,oura-ring,"[25,1000]",VARIABLE,8.5
Grameen Foundation,grameen-foundation,"[10,1000]",VARIABLE,4.5
VUDU,vudu,"[25,100]",VARIABLE,5.5
Carvel,carvel,"[10,200]",VARIABLE,8.5
Happy Card/One4all - Weekend Vibes,Happy-Card-One4all-Weekend-Vibes,"[25,500]",VARIABLE,3.5
McAlister's Deli,mcalisters-deli,"[10,200]",VARIABLE,8.5
Duck Donuts,duck-donuts,"[25,500]",VARIABLE,9
HopCat,hopcat,"[10,100]",VARIABLE,10.5
Seasons 52,seasons-52,"[10,250]",VARIABLE,6
Perfect World Entertainment,perfect-world-entertainment,[20],FIXED,6.5
SpringHill Suites,springhill-suites,"[100,250,350,500,850]",FIXED,9
SpringHill Suites,springhill-suites,"[25,2000]",VARIABLE,4.5
Omaha Steaks,omaha-steaks,"[15,200]",VARIABLE,10.5
MLB.TV,mlbtv,[29.99],FIXED,6.5
Guitar Center,guitar-center,"[15,500]",VARIABLE,5
QFC,qfc,"[10,500]",VARIABLE,2.75
Moxy Hotels,moxy-hotels,"[100,250,350,500,850]",FIXED,9
Moxy Hotels,moxy-hotels,"[25,2000]",VARIABLE,4.5
America SCORES,america-scores,"[10,1000]",VARIABLE,4.5
Panda Express,panda-express,"[10,500]",VARIABLE,9
Brenner's Steakhouse,brenners-steakhouse,"[25,500]",VARIABLE,10.5
Spafinder,spafinder,"[10,500]",VARIABLE,12.5
Xbox Madden NFL 24,xbox-madden-nfl-24,"[49.99,99.99]",FIXED,5
For the love of Variety,for-the-love-of-variety,"[20,1900]",VARIABLE,7
Hulu,hulu,"[25,50,100]",FIXED,8
Hulu,hulu,"[25,200]",VARIABLE,6.5
Sheraton,sheraton,"[100,250,350,500,850]",FIXED,9
Sheraton,sheraton,"[25,2000]",VARIABLE,4.5
Littman Jewelers,littman-jewelers,"[10,500]",VARIABLE,2.75
Go RIO San Antonio River Cruises,go-rio-san-antonio-river-cruises,"[25,500]",VARIABLE,10.5
Protea Hotels by Marriott,protea-hotels-by-marriott,"[100,250,350,500,850]",FIXED,9
Protea Hotels by Marriott,protea-hotels-by-marriott,"[25,2000]",VARIABLE,4.5
GetGo,getgo,"[25,100]",VARIABLE,1.5
Mere Bulles,mere-bulles,"[10,250]",VARIABLE,10.5
Personalization Mall,personalization-mall,"[10,100]",VARIABLE,8
Disney Cruise Line,disney-cruise-line,"[50,100]",FIXED,5
Disney Cruise Line,disney-cruise-line,"[15,500]",VARIABLE,4
Embers Restaurant,embers-restaurant,"[10,250]",VARIABLE,6.5
Snapchat+,snapchat-plus,[29.99],FIXED,7
Happy Card/One4all Giving Good - Make-A-Wish,happy-card-one4all-giving-good-makeawish,"[25,500]",VARIABLE,4
Grimaldi's Pizzeria,grimaldis-pizzeria,"[25,250]",VARIABLE,6.5
Gap Options,gap-options,"[50,100]",FIXED,15.5
Gap Options,gap-options,"[10,500]",VARIABLE,7.5
Vib,vib,"[25,1000]",VARIABLE,7.5
Nordstrom Rack,nordstrom-rack,[413],FIXED,10
Nordstrom Rack,nordstrom-rack,"[50,100,150,200,500]",FIXED,5
Nordstrom Rack,nordstrom-rack,"[25,500]",VARIABLE,4
JTV,jtv,"[15,500]",VARIABLE,10.5
SiriusXM,siriusxm,"[15,200]",VARIABLE,5.5
Del Frisco's Grille,del-friscos-grille,"[25,500]",VARIABLE,10.5
Glo,glo,"[25,1000]",VARIABLE,7.5
Verizon,verizon,"[10,150]",VARIABLE,7.5
Special Olympics - Charity on Top,special-olympics,"[10,500]",VARIABLE,7.5
1-800-Flowers,1-800-flowers,"[15,500]",VARIABLE,10.5
Yak & Yeti Restaurant,yak-yeti-restaurant,"[25,500]",VARIABLE,10.5
Lettuce Entertain You Restaurants,lettuce-entertain-you-restaurants,"[10,500]",VARIABLE,10.5
Long Live The Kings,long-live-the-kings,"[10,1000]",VARIABLE,4.5
1-800-PetSupplies,1800-pet-supplies,"[25,50]",FIXED,10
Camping World,camping-world,"[10,500]",VARIABLE,5
Fruit Bouquets,fruit-bouquets,"[15,500]",VARIABLE,10.5
Xbox Game Pass,xbox-game-pass,[29.99],FIXED,6
Ralphs,ralphs,"[10,500]",VARIABLE,2.75
Hibbett Sports,hibbett-sports,"[25,250]",VARIABLE,6
Safeway,safeway,"[10,250]",VARIABLE,3
Shipt Membership,shipt-membership,"[49,99]",FIXED,5
Best Western Plus,best-western-plus,"[25,1000]",VARIABLE,7.5
Crutchfield,crutchfield,"[25,250]",VARIABLE,10.5
P.C. Richard & Son,pc-richard-son,"[25,500]",VARIABLE,3.5
Executive Residency by Best Western,executive-residency-by-best-western,"[25,1000]",VARIABLE,7.5
NBA Store,nba-store,"[10,500]",VARIABLE,8.5
TJ Maxx,tj-maxx,"[10,500]",VARIABLE,5.5
Instacart,instacart,"[25,250]",VARIABLE,4
Soma,soma,"[15,500]",VARIABLE,7.5
Wine.com,wine-com,[25],FIXED,3.5
Minecraft Minecoin,minecraft-minecoin,[26.95],FIXED,10
Minecraft Minecoin,minecraft-minecoin,[9.99],FIXED,7
Minecraft Minecoin,minecraft-minecoin,[19],FIXED,3.5
Disney World Magic Kingdom,magic-kingdom,"[50,100]",FIXED,5
Disney World Magic Kingdom,magic-kingdom,"[15,500]",VARIABLE,4
Xbox Madden NFL 24: Standard Edition,xbox-madden-nfl-24-standard-edition,[69.99],FIXED,5
California Pizza Kitchen,california-pizza-kitchen,"[10,500]",VARIABLE,9
Victoria's Secret,victorias-secret,"[10,500]",VARIABLE,4.5
Birch Lane,birch-lane,[100],FIXED,8
Birch Lane,birch-lane,"[10,500]",VARIABLE,6
Wolferman's,wolfermans,"[15,500]",VARIABLE,10.5
Carquest,carquest,"[47.5,92]",FIXED,15
Carquest,carquest,"[10,500]",VARIABLE,10.5
Celebrity Cruises,celebrity-cruises,"[50,500]",FIXED,15
Celebrity Cruises,celebrity-cruises,"[100,250]",FIXED,10.5
Academy Sports + Outdoors,academy-sports-outdoor,[50],FIXED,12
Academy Sports + Outdoors,academy-sports-outdoor,"[10,1500]",VARIABLE,3
Disney,disney,"[50,100]",FIXED,5
Disney,disney,"[15,500]",VARIABLE,4
Village Inn,village-inn,"[10,500]",VARIABLE,9.5
Blue Dolphin,Blue-Dolphin,"[10,25]",FIXED,30
Mitchell's Fish Market,mitchells-fish-market,"[25,500]",VARIABLE,10.5
The Container Store,the-container-store,"[10,500]",VARIABLE,8.5
Caviar,caviar,"[50,100,200]",FIXED,5
Peet's Coffee,peets-coffee,[20],FIXED,20
Peet's Coffee,peets-coffee,"[10,200]",VARIABLE,9
Happy Card/One4all Favorites - Treat Yourself,happy-card-one4all-favorites-treat-yourself,"[25,500]",VARIABLE,4
eLearnGift,elearngift,"[50,2000]",VARIABLE,5.5
The Nature Conservancy - Charity on Top,the-nature-conservancy,"[10,500]",VARIABLE,7.5
Fandango,fandango,"[25,100]",VARIABLE,5.5
Rubio's Coastal Grill,rubios-coastal-grill,"[10,100]",VARIABLE,9.5
Modern Market Eatery,modern-market-eatery,[50],FIXED,5
Mountain Hardwear,mountain-hardwear,"[10,250]",VARIABLE,9
Beau Jo's Colorado Style Pizza,beau-jos-colorado-style-pizza,"[10,250]",VARIABLE,9.5
Happy Card/One4all Favorites - Fun & Fabulous,happy-card-one4all-favorites-fun-fabulous,"[25,500]",VARIABLE,4
Darden Restaurants,darden-restaurants,"[10,250]",VARIABLE,6
Dave & Buster's,dave-busters,"[10,500]",VARIABLE,8.5
Pick'n Save,pickn-save,"[10,500]",VARIABLE,2.75
Tinder,tinder,[39.99],FIXED,10
Torrid,torrid,[17],FIXED,15
Torrid,torrid,[35],FIXED,7
Torrid,torrid,"[15,500]",VARIABLE,6.5
Sling TV,sling-tv,"[25,100]",VARIABLE,5.5
Macy's,macys,[500],FIXED,9
Macy's,macys,"[25,500]",VARIABLE,7
Advance Auto Parts,advance-auto-parts,"[47.5,92]",FIXED,15
Advance Auto Parts,advance-auto-parts,"[10,500]",VARIABLE,10.5
Live Event,live-event,"[25,50]",FIXED,40
Baskin-Robbins,baskin-robbins,"[10,100]",VARIABLE,5.5
Abercrombie Kids,abercrombie-kids,"[25,500]",VARIABLE,6.5
Tommy Bahama,tommy-bahama,"[15,500]",VARIABLE,9.5
Fold,fold,"[25,500]",VARIABLE,3.1
GameStop,gamestop,"[10,500]",VARIABLE,5
Cost Plus World Market,cost-plus-world-market,"[10,500]",VARIABLE,4.5
Sierra Trading Post,sierra-trading-post,"[10,500]",VARIABLE,5.5
Pottery Barn Kids,pottery-barn-kids,"[25,1000]",VARIABLE,5
El Pollo Loco,el-pollo-loco,"[15,200]",VARIABLE,7
Skates on the Bay,skates-on-the-bay,"[25,500]",VARIABLE,10.5
west elm,west-elm,"[25,1000]",VARIABLE,5
UNTUCKit,untuckit,"[25,500]",VARIABLE,8.5
CVS,cvs,"[10,15,20,25,30,35,40,45,50,60,70,80,90,100]",FIXED,6
Foundation for Angelman Syndrome Therapeutics,foundation-for-angelman-syndrome-therapeutics,"[10,1000]",VARIABLE,4.5
For the love of Calling,for-the-love-of-calling,"[20,1900]",VARIABLE,7
FlystayGift,flystaygift,"[50,2000]",VARIABLE,5.5
Paul Martin's American Grill,paul-martins-american-grill,"[25,250]",VARIABLE,10.5
TacoTime,tacotime,"[10,100]",VARIABLE,10
J.Crew,j-crew,[324],FIXED,15
J.Crew,j-crew,"[20,500]",VARIABLE,6.5
EA Apex,ea-apex,[20],FIXED,10
Vic & Anthony's Steakhouse,vic-anthonys-steakhouse,"[25,500]",VARIABLE,10.5
Gap,gap,"[50,100]",FIXED,15.5
Gap,gap,"[10,500]",VARIABLE,7.5
Pottery Barn Teen,pottery-barn-teen,"[25,1000]",VARIABLE,5
Saks Fifth Avenue,saks-fifth-avenue,"[10,500]",VARIABLE,7
Autograph Collection Hotels,autograph-collection-hotels,"[100,250,350,500,850]",FIXED,9
Autograph Collection Hotels,autograph-collection-hotels,"[25,2000]",VARIABLE,4.5
